FileName | fileType | Tag(xpath or property) | tomlConfig | dataType | description | defaultValue | PossibleValues | Config Status
registry.xml | xml | /wso2registry[1]/remoteInstance[1]/id[1]/text()[1] |  |  |  |  |  | Not Needed
master-datasources.xml | xml | /datasources-configuration[1]/datasources[1]/datasource[3]/jndiConfig[1]/name[1]/text()[1] |  | String | jndi name of the Identity DB | jdbc/WSO2IdentityDB |  | Not templated
master-datasources.xml | xml | /datasources-configuration[1]/datasources[1]/datasource[2]/jndiConfig[1]/name[1]/text()[1] |  | String | jndi name of the shared DB | jdbc/SHARED_DB |  | Not Templated
identity.xml | xml | /Server[1]/OAuth[1]/OAuth1AuthorizeUrl[1]/text()[1] | oauth.endpoints.oauth1_authorize_url | String | WSO2 Identity Server OAuth1 authorize URL | ${carbon.protocol}://${carbon.host}:${carbon.management.port}/oauth/authorize-url |  | Templated
identity.xml | xml | /Server[1]/OAuth[1]/OAuth2ErrorPage[1]/text()[1] | oauth.endpoints.oauth2_error_page | String | WSO2 Identity Server OAuth2 Error page | ${carbon.protocol}://${carbon.host}:${carbon.management.port}/authenticationendpoint/oauth2_error.do |  | Templated
registry.xml | xml | /wso2registry[1]/remoteInstance[1]/cacheId[1]/text()[1] | governance_data.cache_id | String | This is the cache_id, which is a unique value. |  |  | Templated
identity.xml | xml | /Server[1]/OAuth[1]/RequiredRespHeaderClaimUris[1]/ClaimUri[9]/text()[1] |  |  |  |  |  | Removed
identity.xml | xml | /Server[1]/OAuth[1]/OAuth2ConsentPage[1]/text()[1] | oauth.endpoints.oauth2_consent_page | String | OAuth consent page URL | ${carbon.protocol}://${carbon.host}:${carbon.management.port}/authenticationendpoint/oauth2_consent.do |  | Templated
identity.xml | xml | /Server[1]/OAuth[1]/OIDCLogoutConsentPage[1]/text()[1] | oauth.endpoints.oidc_logout_consent_page | String | OAuth OIDC consent page during logout flow. | ${carbon.protocol}://${carbon.host}:${carbon.management.port}/authenticationendpoint/oauth2_logout_consent.do |  | Templated
identity.xml | xml | /Server[1]/SSOService[1]/SessionIndexCacheTimeout[1]/text()[1] |  |  |  |  |  | Removed
identity.xml | xml | /Server[1]/OAuth[1]/UserAccessTokenDefaultValidityPeriod[1]/text()[1] | oauth.token_validation.user_access_token_validity | int | User Access token validity period in seconds | 3600 |  | Templated
carbon.xml | xml | /Server[1]/Security[1]/XSSPreventionConfig[1]/Rule[1]/text()[1] |  |  |  |  |  | Not Templated
